Year,"OATS - PRODUCTION, MEASURED IN BU","WHEAT, WINTER - PRODUCTION, MEASURED IN BU","COTTON, UPLAND - PRODUCTION, MEASURED IN 480 LB BALES","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU","CORN, GRAIN - PRODUCTION, MEASURED IN BU","WHEAT, WINTER, IRRIGATED - PRODUCTION, MEASURED IN BU","WHEAT, WINTER, NON-IRRIGATED - PRODUCTION, MEASURED IN BU","COTTON, UPLAND, IRRIGATED - PRODUCTION, MEASURED IN 480 LB BALES","COTTON, UPLAND, NON-IRRIGATED - PRODUCTION, MEASURED IN 480 LB BALES","SORGHUM, GRAIN, IRRIGATED - PRODUCTION, MEASURED IN BU","SORGHUM, GRAIN, NON-IRRIGATED - PRODUCTION, MEASURED IN BU","CORN, GRAIN, NON-IRRIGATED - PRODUCTION, MEASURED IN BU","CORN, GRAIN, IRRIGATED - PRODUCTION, MEASURED IN BU","PEANUTS - PRODUCTION, MEASURED IN LB","WHEAT - PRODUCTION, MEASURED IN BU","WHEAT, IRRIGATED - PRODUCTION, MEASURED IN BU","WHEAT, NON-IRRIGATED - PRODUCTION, MEASURED IN BU","PEANUTS, IRRIGATED - PRODUCTION, MEASURED IN LB"
1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,149600,1198000,139800,2437000,446000,102000,1036000,86800,44100,71000,2338000,0,0,25810000,1198000,102000,1036000,18750000
2001,631200,7508000,239500,3695000,370000,287000,3333000,111500,127700,250000,1861000,0,0,31936000,7508000,287000,3333000,29388000
2002,588000,6115500,371000,3773000,217000,457000,1131000,124700,209700,58000,1509000,0,0,27700000,6115500,457000,1131000,27700000
2003,600100,5036600,468100,3003000,343000,491000,1044500,142700,293500,197000,1317000,0,0,23700000,5036600,491000,1044500,23700000
2004,685500,7542000,650800,4163800,392000,538000,766000,163200,486700,120800,2097000,0,0,21580000,7542000,538000,766000,21580000
2005,660000,6094100,960800,3633000,704000,383500,2414900,217100,678600,116000,1543000,0,0,28860000,6094100,383500,2414900,28860000
2006,307500,1863000,377300,1141000,333000,381000,569000,185000,174000,121000,462000,0,0,12375000,1863000,381000,569000,0
2007,283000,6206000,1225700,5613000,750000,493000,1738000,243000,894000,225000,3805000,0,0,0,6206000,493000,1738000,0
2008,300600,5031000,363800,4617400,0,614000,1093000,134400,94000,0,0,0,0,14500000,0,0,0,0
2009,15800,1805200,577600,1742000,267000,600900,538000,157400,302800,177000,560000,0,0,14000000,0,0,0,0
2010,340300,10625000,834400,1588300,214800,649500,6791000,239600,457100,0,102000,44800,170000,1310000,0,0,0,0
2011,3600,1528500,113000,0,0,598000,568000,29000,2300,0,0,0,0,0,0,0,0,0
2012,69600,6279600,336500,1264500,228100,300000,3235000,147000,123550,192000,870000,0,0,0,0,0,0,0
2013,79000,6338200,403830,3505200,630000,934000,2225000,105200,129900,250000,1143000,0,0,0,0,0,0,0
2014,24400,3607200,579070,868700,0,456000,2358000,148560,248300,89100,446000,0,0,0,0,0,0,0
2015,195000,8637200,671310,1693800,0,592500,5906000,147000,384900,141000,850000,0,0,0,0,0,0,0
2016,80000,7212500,858430,2466900,304300,504000,5129000,197300,468300,123000,1338200,0,0,0,0,0,0,0
2017,225300,4939100,805970,2036500,1322000,283000,1780000,219550,374040,123000,964000,0,0,0,0,0,0,0
2018,9000,4652000,283000,780300,560000,311000,1431000,83950,128900,120000,473000,0,0,0,0,0,0,0
2019,60300,5427800,601700,1167300,1137000,348000,2050000,0,0,0,0,0,0,0,0,0,0,0
2020,45400,5007200,231650,1077000,114500,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,64100,2717500,1018300,1372400,684100,0,0,0,0,0,0,0,0,0,0,0,0,0
