Year,"COTTON, UPLAND - PRODUCTION, MEASURED IN 480 LB BALES","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU","PEANUTS - PRODUCTION, MEASURED IN LB","WHEAT, WINTER - PRODUCTION, MEASURED IN BU","COTTON, UPLAND, IRRIGATED - PRODUCTION, MEASURED IN 480 LB BALES","COTTON, UPLAND, NON-IRRIGATED - PRODUCTION, MEASURED IN 480 LB BALES","CORN, GRAIN - PRODUCTION, MEASURED IN BU","WHEAT, WINTER, IRRIGATED - PRODUCTION, MEASURED IN BU","WHEAT, WINTER, NON-IRRIGATED - PRODUCTION, MEASURED IN BU","SORGHUM, GRAIN, IRRIGATED - PRODUCTION, MEASURED IN BU","SORGHUM, GRAIN, NON-IRRIGATED - PRODUCTION, MEASURED IN BU","SUNFLOWER, OIL TYPE - PRODUCTION, MEASURED IN LB","SUNFLOWER - PRODUCTION, MEASURED IN LB","WHEAT - PRODUCTION, MEASURED IN BU","WHEAT, IRRIGATED - PRODUCTION, MEASURED IN BU","WHEAT, NON-IRRIGATED - PRODUCTION, MEASURED IN BU","SUNFLOWER, NON-OIL TYPE - PRODUCTION, MEASURED IN LB","OATS - PRODUCTION, MEASURED IN BU","PEANUTS, IRRIGATED - PRODUCTION, MEASURED IN LB","SOYBEANS - PRODUCTION, MEASURED IN BU","SOYBEANS, IRRIGATED - PRODUCTION, MEASURED IN BU","PEANUTS, NON-IRRIGATED - PRODUCTION, MEASURED IN LB"
1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,505200,1629000,430005000,722000,430400,74800,0,521000,201000,148000,1429000,700000,3655000,722000,521000,201000,2805000,0,323800000,110000,110000,1150000
2001,577000,3147000,482751000,2003000,498000,79000,0,1530000,473000,585000,2562000,0,820000,2003000,1530000,473000,0,0,72533000,3000,0,0
2002,816000,4861000,541898000,1463000,630000,186000,0,1265000,198000,484000,3557000,0,1480000,1463000,1265000,198000,0,0,87330000,0,0,0
2003,756400,4146000,480850000,2074000,521500,234900,0,1678000,396000,2902000,1244000,0,1850000,2074000,1678000,396000,0,0,99250000,44000,0,0
2004,1369600,3128100,469850000,2543000,889500,480100,517000,2139000,404000,476000,1921100,0,2800000,2543000,2139000,404000,0,10700,378100000,0,0,0
2005,1658000,1434000,601551000,1163000,988000,670000,500000,933000,230000,369000,625000,0,4502000,1163000,933000,230000,2155000,13500,439580000,0,0,0
2006,998700,824000,313413000,582000,893200,105500,0,476000,106000,175000,324000,0,0,582000,476000,106000,0,0,0,0,0,0
2007,1593000,4148000,465046000,2663000,982000,611000,0,1866000,516000,2397000,1751000,1600000,1600000,2663000,1866000,516000,0,0,0,0,0,0
2008,587500,18672000,556520000,4136000,413200,108400,0,3668000,124000,5850000,8630000,0,5150000,0,0,0,0,0,0,0,0,0
2009,986600,5805000,287350000,1452500,771200,215400,0,380000,62000,1055000,2410000,4900000,0,0,0,0,0,0,0,0,0,0
2010,1462700,1044000,343600000,1827200,958600,504100,0,1295000,532200,343000,238000,0,0,0,0,0,0,0,0,0,0,0
2011,372800,0,55400000,234000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,760350,1217000,323300000,0,322700,128100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,579500,6173000,266830000,1271000,220100,34200,0,0,0,1839000,1100000,0,0,0,0,0,0,0,0,0,0,0
2014,854300,1943000,128200000,0,416700,181600,912000,0,0,377000,576000,0,0,0,0,0,0,0,0,0,0,0
2015,1213500,4017000,0,158000,516800,335400,2188700,63000,95000,391000,425000,0,0,0,0,0,0,0,0,0,0,0
2016,1245800,643000,190000000,72000,524200,420100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1254200,1126000,312600000,773200,616600,370200,2195000,264000,61000,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,776300,0,62600000,271500,506100,85000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,731900,75000,197790000,451900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,303600,0,239310000,195000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,1196300,2429000,323320000,170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
